,Tweet,Type
53,Fire burns 5 acres near Byron  <link> ,1.0
54,This precious little bub  <link> ,0.0
55,If you dont live your life who the phuck will,0.0
56, <username>   <username>   <username>   <username>   <username>  ACS covers this  occupational data on pollice and  detectives,1.0
57,lucky girl,0.0
58,Nodding the head does not row the boat  Irish Proverb  <hashtag> ,1.0
59,Bootlick 4  <link>  via  <username> ,0.0
60,Oh you poor poor thing,0.0
61,VIDEO Liar James Clapper Claimed There was NO FISA Warrant on Trump  <link> ,1.0
62,Im at Transit Cafe in San Francisco CA  <link> ,0.0
63,Can you fit 3,0.0
64,Sessions are at Burnholme 530630pm for 11  15  630730pm for 1625 and  <username>  1116 at 89pm  <username>   <username> ,0.0
65,French court ruled IMFs Christine Lagarde will stand trial in a longrunning fraud case  <link>   <link> ,1.0
66, <username>  that way  <link> ,1.0
67,On this day in 1997 we beat Middlesbrough 20 at the old Wembley to win the FA Cup <link> ,0.0
68,Anguish as trapped workers call for help in Peru fire  <link>   <link> ,1.0
69, <link>  the piano guys are great,1.0
70,tbh Im tryna see the whole India Love video  <link> ,1.0
71,Hillary before and after she is told teens like weed  <hashtag>   <link> ,1.0
72,If I were you Id accessorize with some gloves Even a manicure cant mask those peasant hands Blair Waldorf  <hashtag> ,1.0
73,A smart person will give you smart answers but a wise person will ask you smart questions  <hashtag> ,1.0
74,thank you Kelly,0.0
75,Keller Northwest ISD baseball teams vie for position  <link>   <link> ,1.0
76,Im in love  <link> ,0.0
77,Diamonds in my teeth dont talk my way,0.0
78, <hashtag>  Its just senseless violence  <hashtag> ,1.0
79,I posted a new video to Facebook  <link> ,0.0
80,Suddenly the Warriors many bad shots  that usually go in  are just looking like really bad shots,0.0
81,Former lawmaker transfers prisons after reported assault  <link> ,1.0
82,Rome mayor to withdraw backing for 2024 Olympic bid city hall official   <hashtag> ,1.0
83,dirty talk sampe sange  <link> ,0.0
84,Happy Birthday to Daras Playful and Sweet SunbaeDongsaeng Taeyangie   <hashtag>   <link> ,0.0
85,RT  <username>   <username>   <username>  hahaha the white supremacist is mad  <link> ,1.0
86,Were currently having this issue worked on  should be resolved by tomorrow Debs,0.0
87,France Russia strike Islamic State new suspect sought   <hashtag>   <hashtag> ,1.0
88,Search intent signals aligning organic  paid search strategy  <link> ,0.0
89,Gone going gone,0.0
90,Id fire Riley if Ralph can somehow ship out Amare not even under contract for Fournier and a 2nd round  <link> ,0.0
91,How I threaten MY life Explain this fuck boy logic RT  <username>   <username>   <username>  who threatened your life but YOU ,1.0
92, <username>  I go on the allstar voting page everyday just to get my 5 Dexter votes in   <hashtag> ,0.0
93,would it be dumb or not dumb to rent a car during movement im stayin in melvindale so im pretty far from most things,0.0
94, <username>  Thank you for your work to make  <hashtag>  actually work Currently  <hashtag>  seeing more pixels than patients  <hashtag> ,0.0
95,I just made a tool for inspecting data in a Reagent app as a tree structure data <link> ,0.0
96,Dear Mother  <hashtag>   <username>   <hashtag> ,0.0
97,THEO GOTTA GO,0.0
98,Nope  <hashtag>   <link> ,1.0
99,RT CMcCaffrey5 First NFL camp  Real thankful to be a part of such a special group  <hashtag>   <hashtag>   <link> ,1.0
100,Could literally be ur final thoughts if trump wins More countries should have nukes and bomb the shit out of em  <hashtag> ,1.0
101,Easy NoBake Berry Cheesecake  <hashtag>  Recipe  <link>  PIN  <link>  <link> ,0.0
102, <hashtag>   Nawaz should explain to us thay how did he buy the Mayfair apartments and lied to  <link> ,0.0
103,Wah Theres no1 to tail wag  double bark at my tweets  <username>  please reinstate my doggie in the suit  <username>    <hashtag> ,1.0
104,Does anyone else find it at least a little bit funny that these pieces dont get written when Democrats win  <link> ,1.0
105, <hashtag>  be bodypositive in any possible way,1.0
106,Make niggas fall in love Cheat on niggas with there first love And then call us  <link> ,0.0
107,Zee Media Exclusive on AI scandal Officials exminister Praful Patel were paid bribes  <link>   <hashtag> ,0.0
108,NYT story on Trumps history with women sparks backlash <link>  <link> ,0.0
109,Youll never know how i really feel,0.0
110,These Are The Biggest Skills That New Graduates Lack  <link> ,0.0
111, <hashtag>  California man who helped kidnap busload of kids could get parole,1.0
112,Sanders fan hijacks mic at Michigan Dem breakfast   <hashtag> ,1.0
113,On International Day Against HomoTransBiphobia we again condemn  <hashtag> 2  all antitrans antiqueer antiworker discrimination  <hashtag> 2016,0.0
114,Greek PM says first bailout review must be concluded within November   <hashtag> ,1.0
115,Congested Biscayne Boulevard may narrow   <hashtag>   <hashtag> ,1.0
116,A444 I dont get it,0.0
117, <hashtag>  Canada FORCED to take DRASTIC Action to Stop Illegals From Flooding In  <link>   <link> ,1.0
118, <hashtag>  hankering for chocolate,1.0
119,An interesting piece from Adam Sandy of Ride Entertainment on the future of attractions  <link> ,0.0
120, <username>  My mood is ruined  <hashtag>   <hashtag>   <hashtag>   <hashtag>   <hashtag>    <link> ,1.0
121,Kentucky Primary Polls will be open from 6a 6p Those in line at 6p will be allowed to vote  <hashtag>   <link> ,0.0
122,suni at home ny where are you,0.0
123,Are the people that youre pouring into pouring back into you,0.0
124,Whenever I went to sleep for two minutes I was just seeing the bombing and the killing and the dead bodies  <link> ,0.0
125,Donald Trump eyes 2016 presidential run   <hashtag> ,1.0
126,NGA plans to stay in St Louis   <hashtag> ,1.0
127, <hashtag>  The Oregon Trail in the footsteps of the pioneers,1.0
128,Everything is finished and ready to go Now to pack <hashtag>   <link> ,0.0
129,I need to change my avi i look 12,0.0
130,no shit mf I know those websites exist lmao I mean like if it did that automatically instead of having to do it separately,0.0
131,What is the wealthiest city in the West Valley  <link>   <link> ,1.0
132,Lets join hands for humanity Join our Thunderclap  <link> 41774beachangemakerpeacebu  <link> ,0.0
133,Latest  UGCs Yoga Day directive Govt faces charges of imposing communal agenda  Daily News   <link>   <hashtag> ,0.0
134, <username>   you have no idea son,0.0
135,1111 more novel books to come,0.0
136,VIDEO 6 children injured in electric shock on amusement park ride,1.0
137, <hashtag> 3Words Still paying Christmas,1.0
138,THIRD VIEWER  <link> ,0.0
139,I  <link> t know what to do Im lost,0.0
140,Michigan State Police raid Dearborn city office   <hashtag> ,1.0
141,LUDACRIS By ASKEM  <username>   <hashtag>   <link> ,1.0
142,2 White Chair Miniatures  <hashtag>   <hashtag>  gt  <link> ,1.0
143,Let me go Emotional Tomi Lahren hits Nightline and sends an unequivocal message to Glenn Beck  <link>   <link> ,1.0
144,Have the fattest headache rn,0.0
145,I want pancakes right now,0.0
146,I need some damn sleep,0.0
147,Just completed a 1035 km run  10キロ  <link>   <hashtag> ,0.0
148,Baba Hardev Singhs youngest daughter tipped to become  <hashtag>  head  <link>  <link> ,0.0
149,New Jersey man accused of choking strangers baby at store  <link>   <hashtag> ,1.0
150,Yeah If you dont like that you can useHow to explain this nextGoogle  <link> ,0.0
151, <username>   <username>   <username>   <username>  We probably do have some I have just never seen them They arent common,0.0
152,Counting down the days  <username>   <hashtag>   <link> ,0.0
153,never give  <link> ,0.0
154,twitter widget idea watermarked tweets you try to copy and past and pooof your handle pops up too and cant be erased,1.0
155,best way to overcome a bad weekend is work  <hashtag>   <hashtag> 1Testing  <link> ,0.0
156,US Sending Warships to Korean Peninsula  <link>   <link> ,1.0
157,New Quinnipiac Poll Hillarys In Trouble In 3 Swing States Against 3 Top GOP Candidates  <link>   <hashtag>   <hashtag> ,1.0
158,Harmony Police Officer WellRespected In Community To Be Honored With Award   <hashtag> ,1.0
159, <hashtag>  RT hidehunt1 POTUS We dont pay people to come We show up with our Stars and Stripes and  support for the one man who truly i ,1.0
160, You are such an embarrassment to this country We should be moving forward not backward right to peaceful demonstration,0.0
161, <username>  unless ISIS takes blame then theyll just do nothing,1.0
162,Jasper AL machine tool tech students earn  <hashtag>  credentials with the help of Gene Haas Foundation scholarships  <link> ,0.0
163,Hit me up with those 5 foot long ,0.0
164,Celebrate Mothers May and enter to win a 100 SpaFinder w  <username>    <username>   <hashtag>   <link> ,0.0
165,SBI seeks to acquire six smaller  <link> ,0.0
166,yang on retweet,0.0
167,2 firefighters shot while responding to call in Maryland  <link> ,1.0
168,An investigation has been opened after suspicious bets on a  <hashtag>  red against  <hashtag>  httpwwwfootball <link>  <link> ,0.0
169, <hashtag>  Chief  <username>  presents a generous 5000 donation to support  <hashtag>  relief We want to help <link> ,0.0
170,No filter Photo cred mark_bauch  <link> ,0.0
171,Shout out to  <username>  always playing that JAZZMYN RED  Love yall ,1.0
172,tbh di ko alam yon pero ITZ FUN OU VERY,0.0
173,Damn It Feel Good To Be GREAT,0.0
174,Public vetting of Kaine for Clinton VP begins   <hashtag> ,1.0
175,Call on  <username>  to send Department of Justice observers  stop Dakota Access  <hashtag>   <link> ,1.0
176,Regardless of the fud out there big cos and consumer companies are building tons of new apps with HTML5 for the app store like Ionic,0.0
177, <hashtag>  Spanish media giants Miami office raided by FBI in FIFA scandal   <hashtag> ,1.0
178,These moguls are keeping it a hunnid Its real out here  <hashtag>  airs TONIGHT at 9P8C  <link> ,1.0
179,I hate it when my Dutch drinks melt before Im done drinking them ,0.0
180,Brand New Concept Get Paid To Test Apps  <link>  Retweet Please  <link>  1,1.0
181,Why few Americans in Panama Papers Lawyer doesnt want them   <hashtag> ,1.0
182,Police arrive and tensions escalate And it ends with an unarmed black man shot dead Welcome to AmerKKKa  <hashtag>   <link> ,1.0
183,Syria says deal agreed for insurgents to exit Homs area   <hashtag>   <hashtag> ,1.0
184, <hashtag>  LOL  This Strategy that would DESTROY Kim Jongun just went VIRAL  <link>   <hashtag>   <link> ,1.0
185, <username>  i love you for all that you are all that you have been and all that you will bemay i kindly ask for a follow please 288566,0.0
186,Locked up in my own mental prison,0.0
187,At least put the champa tournament as dlc or something,0.0
188,This Little French Bulldog Really Does NOT Trust His New Treat   <link>  <link> ,0.0
189,ONRPE  <hashtag>  No I wont stop haha jeohnwoo,0.0
190,Suspected arson kills Cleveland man police questioning person of interest The West Side resident died at MetroHealth   <hashtag> ,1.0
191,Look around you take a deep breath and love your beautiful imperfect life You are not a failure   <username>  <link> ,0.0
192,Thank you Taeyang for being a good mentor to WINNER Hope to hear a song collab one day <hashtag>   <hashtag> ,0.0
193,A huge airlines decision to cut flights to the US shows the cost of being unwelcoming to the world  <link> ,1.0
194,California panel proposes guidelines for legalizing marijuana   <hashtag>   <hashtag> ,1.0
195,Credit card stolen during dental procedure University Heights Police Blotter Fraud Cedar Road At 1230 pm Jan 8 a woma   <hashtag> ,1.0
196,Missouri reconsidering commitment to crossstate Rock Island Trail  <link>   <link> ,1.0
197, <hashtag>  Texas jail death focuses new attention on inmate suicides,1.0
198,Levine Four Or Five Teams Could Have Eye On Chris Sale  <link>   <link> ,1.0
199,Hacking attempt on AZ voter database leads to security concerns  <link> ,1.0
200,THEY JUST KILLED HYJNGQON AND MINHGYUK IM  FORGET LINES LETS JUST KILL THEM,0.0
201,The EU export more to the UK than we export to them  so why wouldnt they want a trade deal   ,0.0
202,What Does an Awardwinning Website Look Like A Snowflake Perhaps  <link>   <hashtag> ,0.0
203,I just need to find someone who enjoys my awkwardness loves me even when Im mean and laughs at my jokes even when theyre not funny,0.0
204,LOL Look Which AntiTrump Conservative Is Set to Join The View  <link> ,1.0
205,thats all niggas goood for,0.0
206,Love is a friendship set to music,1.0
207,Man found injured off Katy Trail near Defiance was stranded near there for days officials say  <link>   <link> ,1.0
208,Oh no The lord is still working on me You cant put you face and hands in my car Not NEVER  <link> ,1.0
209,Im noticing a lot of the guys against the rompers are the ones with tiny legs  <link> ,1.0
210,PD Man accused of taking dressing room video  <link> ,1.0
211, <username>  sorry bae ill move for you ,1.0
212,Reddits CEO Is Having An AMA To Discuss Offensive Content via  <hashtag>   <link> ,1.0
213, <hashtag>   Energetic  <hashtag>  Track By Power of Interest called Singularity gt  <link>   <link> ,1.0
214,The first to apologize is always the bravest The first to forgive is the strongest The first to forget is the happiest,0.0
215,Crowded black mayoral field in St Louis could dilute vote  <link>   <link> ,1.0
216, <hashtag>  Vengeful US womens team enters World Cup,1.0
217,Stargazing From the International Space Station via NASA  <link>  <link> ,0.0
218,White House On Berkeley Rioters We Know Who They Are  <link> ,1.0
219,I luvv meeting new people,0.0
220,Americans refuse to accept Donald Trump as president protests erupt across America   <link> ,1.0
221,Funny how love can turn into hate so quick,0.0
222, <hashtag>  Pete Rose allegedly bet on games as a player,1.0
223, <hashtag>   <hashtag>   8 Awesome paid  <hashtag>  apps on sale for free right now   <link>   <link> ,0.0
224,did you grab yourself a cold pop,0.0
225,Im not rushing for a relationship but I cant until someone obsesses over me and only has eyes for me,0.0
226,Charges expected against man 76 in shootings of Brookfield neighbors   <hashtag> ,1.0
227, <username>  Study Demand of new construction is in excess in  <hashtag>   <hashtag>  and  <hashtag>  Demand driven by IT companies,0.0
228,Keynote Address on Public Policy Food Safety Nutrition  SecurityDr Moephuli CEOARC  <hashtag> 2016  <username>  <link> ,0.0
229,His past has zero to do with the fact that a police officer almost killed him for no reason  The cop needs to be fired amp  <hashtag>   <link> ,1.0
230,WOW Look Who Helped Persuade Trump to End DACA  <link>   <link> ,1.0
231, <hashtag>  Dying wish comes true Dutch woman with ALS sees Rembrandts Associated Press  <link> ,1.0
232,7 Now hes decided that the old lies are inconvenient Time for new lies,1.0
233,Who  how can it be corrected We need at least 500 really honest yet intelligent  learned leaders  to change this situation,0.0
234, <username>   <username>  I havent passed out ALL the passwords yet,1.0
235,Mad Max Swaps RUSSIA Hysteria For WHITE SUPREMACY  <link>   <link> ,1.0
236, <link>  insights and best practices that will help you create better charts Jack Parmer CEO  <link> ,0.0
237, <hashtag>  BREAKING  New Demands for Team Obama to Face Criminal Investigation  <link>   <hashtag>   <link> ,1.0
238,Check out VTS new song <link>  Tell me if you like it,0.0
239,Cincinnati Reds bring up Martinez native Robert Stephenson   <hashtag> ,1.0
240,BrandNew535 As a nurse whos seen people get sick bc of medical bills you can bet votecoribush will fight for  <hashtag>   <link> ,1.0
241,Im okay actually feeling better than usual,0.0
242,123 GO   <hashtag>   is going to start in 20 minutes  RT if you are sure Trump will WIN tonight   <hashtag> 2016  <link> ,1.0
243,Justices send Obamacare contraception case back to lower courts  <link> ,0.0
244, <hashtag>  USDA proposes stricter animal welfare rules for organic meat,1.0
245,I been breaking hearts now im scared to love again bc KARMA,1.0
246,Jesus be the Center,0.0
247,He had it coming tbh  <link> ,1.0
248,Here are some  <hashtag>  about illegal immigration  <link> ,1.0
249,Meet the mighty  <hashtag>    This could change the world in a very interesting way  <link> ,0.0
250,Woman claims Fitbit exploded on her wrist  <link>   <link> ,1.0
251, <link>  someone who has had many careless ppls bash short me in face w backpack disagree Messenger bags sit closer to body,0.0
252,IM LITERALLY SO LOST,0.0
253, <hashtag>  is trending lets push  <link> ,0.0
254,HAPPY BIRTHDAY  <username>  <link> ,0.0
255,Great article Admittedly a little behind in reading  <link> ,0.0
256,Lots of sunblock and air conditioning  2017SurvivalTips  <link> ,1.0
257,Loretta Lynch Hits Sunday Shows Downplays Radical Islams Role in Orlando Slaughter  <hashtag>   <hashtag>   <hashtag>   <link> ,1.0
258,Bitch why are you making fajitas at 4 am  <link> ,0.0
259,Bordow Are we listening to our kids   <hashtag> ,1.0
260,Likelypossible implications of this,0.0
261,This motherfucking hate against Little Mix because of Zayn get on My nerves Dont hate on Little Mix,0.0
262,Nash Grier this boy makes me smile even when Im  <link> ,0.0
263, <hashtag>   Does your gov amp others support ECS  It promotes inferior standards while pretending they are rigorous   <link> ,1.0
264,Get the message  <link> ,1.0
265, <username>  Behavior perverted behaviorNOT a belief <link> ,0.0
266,DBacks win again as Miller shuts down Indians   <hashtag> ,1.0
267,Whatever happened to  <hashtag>  s Dashcam footage  original dispather call The main reason I have  <hashtag>   <hashtag> ,1.0
268, <hashtag>  Traitor McCain DEFENDS Pal McMaster from Conservative Media  <link>   <hashtag>   <link> ,1.0
269,Things Dont End Well for BLM Rioters When They Block a Freeway  <link> ,1.0
270,A petition we deserve  <hashtag>   <link> ,1.0
271,An accurate representation of how it really is  <hashtag> 2017  <hashtag>   <hashtag>   <link> ,1.0
272,I am who I am I like what I like I love who I love I do what I want Get off my back and deal with it Its my life not yours,0.0
273,Incredible detail Trump relied on Putins translator no US note taker Akin to Jareds back channel via Russian facilities  <link> ,1.0
274,Maybeturns a little red,0.0
275,This is probably my favourite TV moment of ALL time   <hashtag>  <link> ,0.0
276,Opportunities are sunrises Wait too long and you miss them If we want to make America better we have to act now  <link> ,1.0
277,Chapped lips and  frozen cigarettes,1.0
278,Alameda County fracking ban moves forward   <hashtag> ,1.0
279,Apple bows to Taylor Swift on paying for all music streaming Reuters  Apple Inc reversed its policy and said it wo   <hashtag> ,1.0
280,OG in my blunt  Yall can keep the cookies this week,0.0
281,If you are against NFL players kneeling during the Anthem but defend Spencers 1st Amendment youre obviously racist  <hashtag> ,1.0
282,hahah like seriously walking from the car park to the front door is a challenge r they havin a laugh,0.0
283, <hashtag>  Kate Hudson Shows Off Her Killer Abs at LA Photo Shoot Just Jared  <link> ,1.0
284,BABE,0.0
285,Snapchats lackluster ad business threatens 16 billion valuation   <hashtag> ,1.0
286,No indictment in Tamir Rice case prosecutor says  <link> ,1.0
287, Message to RADICAL ISLAMIC TERRORISTS from Jim Mad Dog Mattis Be polite be professional but have a plan to kil,1.0
288,Ah yes My final invention A combination of two of my favorite things base ball and deadly  <link> ,0.0
289,Why does the corporate media prop up Hillary and smear her opponents Because theyre huge donors to her foundation  <link> ,1.0
290,Golf News around the World is out  <link>  Stories via  <username>   <username>   <username> ,0.0
291, A 19yearold Pennsylvania man did the last thing youd expect a drunk person to do  <link>   <hashtag> ,1.0
292,San Tan Valley high school apologizes for inappropriate quotes in yearbook  <link>   <link> ,1.0
293,Ion say that fazos bullshit,0.0
294,I have to leave for work in like 15 minutes but Im still laying in bed,0.0
295, <link>  weirdest shit behind my eyelids Thought of you because of the not visualizing things thing Thats so hard to imagine,0.0
296,Cubs Arrieta Fires Shot Ahead Of Wild Card Game   <hashtag> ,1.0
297,New post on my blog Still Got My Money Rihanna Drops Nice Tip On Bartenders Video  <link> ,0.0
298, <hashtag>  How do we know that isis and the Taliban arent the real Islam We dont  <hashtag> ,1.0
299,Inside Chicago Auto Shows Concept amp Technology Garage  <link>   <link> ,1.0
300,NYC Elections Audit Sought   <hashtag> ,1.0
301,Had a dream that was a mix of Star Wars Star Trek Voyager  SG Atlantis In which I struggled to order broccoli from a food replicator,1.0
302, <username>   <username>  whats your solution,1.0
303, <hashtag>   <hashtag>  UFC Fight Night,1.0
304,Oil prices hit highest level in 7 months In case you havent noticed oil prices are staging a strong recove  <link> ,0.0
305,Hi Molly  Press an hold the power button until the console turns off,0.0
306,PETA claims eating chicken could affect your unborn childs penis  <link>   <hashtag> ,1.0
307,Not for love But for God,0.0
308,RT realDonaldTrump Interesting to watch Senator Richard Blumenthal of Connecticut talking about hoax Russian collusion when he was a  phon,1.0
309,ISIS Demolishes Iraqs 7thCentury Mashki Gate In Mosul Islamic State has taken credit for demolishing the   <link> ,0.0
310,Safety first Shooting promos for  <username>   <username>  with  <username>    <username>   <link> ,0.0
311,god bless you and your OKC handle,0.0
312, <hashtag>  Trump will never be the president,1.0
313, <username>   <username>  both had an amazing season with  <username>  they rightly deserved to be selected by  <username>  for  <hashtag> 2016,0.0
314,My kids called to say Kanye was on CPT An hour late Hope it starts soon Its a school night ,1.0
315,Cyber attack knocks out Istanbul power ahead of nightclub terror   <hashtag>   <link> ,1.0
316,I just  <link> ,0.0
317,Punk Screams F Donald Trump Urinates on Floor Then Urinates ON Cop  <link>  via  <username> ,1.0
318, <username>  so exited,0.0
319,YES  Felony Rioting carries 10 Years in a Max Fed Prison Plus a Fine of  250000 Dollars THEY ARE FUCKED FOR LIFE  <link> ,1.0
320,Harlems Rep Charles Rangel And Some Others Vote No On The Electoral College  <link>   <username>   <link> ,1.0
321,Zimbabwes Mujuru launches new political party to challenge Mugabe   <hashtag>   <hashtag> ,1.0
322, <hashtag>  RT Voices4Humanity Islamic Rape of Europe Provocative Polish Magazine Cover Shows White Woman Groped by Br  <link> ,1.0
323,How can  <username>  or Beverley McLachlin go back to being neutral judges after such raw political campaigning  <link> ,1.0
324, <username>  Next thing I knew  <username>  spewed some drivel about peddling my blog and blocked me Who knows what screw is loose,1.0
325,I want to do all that good fun shit this summer  <hashtag> 16 Im here for it,0.0
326, <hashtag>  Decision 2016 Bay Area Voter Guide,1.0
327, <hashtag>  letting your enemy live when you have them by the throat  <link>  <username>   <username> ,1.0
328,She let her husband get her pregnant She a hoe  <link> ,1.0
329,SALE Chalkboard Toddler Girl Stickers Toddler Photo Props Baby Age Stickers   <link>   <link> ,0.0
330,Police investigate double homicide in Indiana County  <link> ,1.0
331,New owners announce plan to resurrect Shepherd of the Hills  <link>   <link> ,1.0
332,Lolol,0.0
333,happy birthday love  <hashtag>   <hashtag>   <link> ,0.0
334,Cruz still favors slashing ethanol mandate every year for five years  <link> ,1.0
335, <hashtag>  Wall Street Journal FORCED to Admit Key Trump Jobs Policy is WORKING  <link>   <hashtag>   <link> ,1.0
336,Biles Douglas headline US womens gymnastics team   <hashtag> ,1.0
337,Philippines offers eight bases to US under new military deal   <hashtag> ,1.0
338,US Secretary of State says confident Syria talks can proceed   <hashtag>   <hashtag> ,1.0
339,Came to school early thinking something was due shit aint due til next week,0.0
340,Looking forward to an inspiring Sunday with my church family  <hashtag> ,1.0
341,its so hard to stay awake in class,0.0
342, <hashtag>  Sanders Using Charlottesville to Line His Pockets  <link>   <link> ,1.0
343,Debt Insanity Does Anyone In Washington Even Care That We Are 20 Trillion Dollars In Debt  <link> ,1.0
344,Israels Intelligence Minister calls Spicers comments serious and outrageous Calls on Spicer to apologize or resign  <link> ,1.0
345,Kirk Cousins sole win over a team with a winning record was a twopoint victory over the Giants,1.0
346,idea cats,0.0
347,Mississippi state rep says lawmakers should be lynched for removing Confederate monuments  <link>   <link> ,1.0
348,This is what happens when you have a hit Doesnt even have to be your concert  <link> ,0.0
349,Got 10 mins Check out this new web series from  <username>  delivering comedy with friend  <hashtag>   <link> ,0.0
350, <username>  I pass the neighbourhood where it happened every day my heart hurts every time,1.0
351,Yo I made a thing for all us cheapskate fans w music knowledge help from  <username>   <link>  <link> ,0.0
352,you never realize how crazy you really are until you start caring about somebody ,1.0
353, <hashtag>  Grants 79 More Commutations 2 Nonviolent  <hashtag>  Victimized By Racist  <hashtag>  Laws   <link>   <link> ,1.0
354,I am so happy I got this car,0.0
355, <username>  And of course theres the Hillary Clinton email paper trail  <link> ,1.0
356,Bruh when do the cavs play aint seen them in two weeks,0.0
357,Snowshoer found dead on Granite Mountain   <hashtag> ,1.0
358,smh  samoka,0.0
359,WikiLeaks To Reveal Earth Shattering Info on Mysterious Vault 7 In Arctic Circle  <link>   <link> ,1.0
360,Good Morning Everyone,1.0
361,Why do we care about the prince s his kids over seas I bet you they not worried about Obama  <username>   <link> ,1.0
362, <hashtag>  Saturday Night Live would stop getting such bad reviews  <link> ,1.0
363,I love twitter but I hate not having an edit button  <hashtag> __ButIHate__,1.0
364,Todays  <hashtag>  goes to  <username> s star  <username>   <link> ,1.0
365, <hashtag>  SHOCKING FOOTAGE  Police Stand Down and Let Antifa Destroy Berkeley  <link>   <hashtag>   <link> ,1.0
366,How do you not check on me when things go wrong Guess I should have kept my family closer,0.0
367,RT MeekKristy The  <hashtag>  are stopped in their tracks once again All the lies theyve said is catching   <link> ,1.0
368,Planned Parenthood CEO Says She Doesnt Know When a Person Gets Constitutional Rights VIDEO  <link> ,1.0
369,I think I found my new favorite ice cream Way to step up  <username>   <link> ,1.0
370,The tension is real bw  <username>    <username>  but so freakin hilarious Hahaha  <username>   <username>   <username>   <hashtag>   <hashtag> ,0.0
371,INTRODUCE A KPOP SONTS CHART,0.0
